,county_fips_code,county_name,date,confirmed_cases,deaths,total_pop,male_pop,female_pop,median_income,median_rent,poverty,employed_pop,unemployed_pop,worked_at_home,walked_to_work,different_house_year_ago_different_city,different_house_year_ago_same_city
2674,48179,Gray ,2021-01-19,1773,40,22962.0,12143.0,10819.0,48314.0,528.0,3169.0,9498.0,492.0,70.0,135.0,2467.0,1298.0
2675,48013,Atascosa ,2021-01-19,3781,90,48139.0,24051.0,24088.0,55194.0,585.0,6961.0,20208.0,1319.0,1165.0,213.0,6205.0,1000.0
2676,48281,Lampasas ,2021-01-19,913,17,20473.0,10144.0,10329.0,54467.0,549.0,2429.0,8612.0,689.0,239.0,234.0,1809.0,357.0
2677,48203,Harrison ,2021-01-19,3575,71,66606.0,32517.0,34089.0,48644.0,574.0,11605.0,27603.0,2128.0,1022.0,169.0,4392.0,1354.0
2678,48007,Aransas ,2021-01-19,895,26,24832.0,12448.0,12384.0,44601.0,666.0,4344.0,10387.0,750.0,683.0,281.0,3101.0,788.0
2679,48139,Ellis ,2021-01-19,16403,201,164092.0,80837.0,83255.0,67371.0,761.0,17014.0,78597.0,3829.0,3850.0,672.0,14541.0,6590.0
2680,48277,Lamar ,2021-01-19,4956,112,49401.0,23876.0,25525.0,42198.0,500.0,8644.0,21134.0,1259.0,663.0,491.0,3933.0,3244.0
2681,48027,Bell ,2021-01-19,16512,214,336506.0,168147.0,168359.0,52583.0,722.0,46671.0,135361.0,12218.0,5304.0,3202.0,48168.0,25906.0
2682,48423,Smith ,2021-01-19,15406,309,222277.0,107355.0,114922.0,50742.0,714.0,35438.0,98488.0,6803.0,3332.0,938.0,22714.0,9422.0
2683,48469,Victoria ,2021-01-19,6672,134,91518.0,44790.0,46728.0,55740.0,701.0,13328.0,43077.0,2299.0,1744.0,336.0,6887.0,8004.0
2684,48257,Kaufman ,2021-01-19,11450,154,114852.0,56347.0,58505.0,63926.0,743.0,14073.0,53146.0,3674.0,1889.0,260.0,14095.0,2299.0
2685,48025,Bee ,2021-01-19,3082,53,32729.0,19883.0,12846.0,45415.0,680.0,4926.0,10125.0,680.0,263.0,259.0,4406.0,1128.0
2686,48493,Wilson ,2021-01-19,2790,41,47205.0,23703.0,23502.0,71942.0,689.0,4705.0,21002.0,1330.0,1325.0,238.0,3686.0,924.0
2687,48401,Rusk ,2021-01-19,3065,65,53026.0,27810.0,25216.0,49270.0,560.0,7576.0,20340.0,1219.0,654.0,184.0,9108.0,1030.0
2688,48377,Presidio ,2021-01-19,615,19,7191.0,3558.0,3633.0,26486.0,408.0,1893.0,2426.0,264.0,155.0,417.0,435.0,545.0
2689,48291,Liberty ,2021-01-19,5116,111,79884.0,39491.0,40393.0,48344.0,578.0,11781.0,28685.0,2413.0,606.0,278.0,12826.0,1354.0
2690,48441,Taylor ,2021-01-19,13275,263,135371.0,66258.0,69113.0,49161.0,649.0,20783.0,62872.0,2917.0,3142.0,1423.0,13584.0,17448.0
2691,48021,Bastrop ,2021-01-19,4373,57,80306.0,40845.0,39461.0,59185.0,724.0,10322.0,33500.0,2809.0,1277.0,450.0,9738.0,1235.0
2692,48135,Ector ,2021-01-19,12222,269,155744.0,78798.0,76946.0,59528.0,816.0,18882.0,72576.0,5349.0,1559.0,1183.0,13912.0,12282.0
2693,48243,Jeff Davis ,2021-01-19,116,1,2236.0,1070.0,1166.0,46534.0,628.0,145.0,911.0,49.0,101.0,47.0,173.0,23.0
2694,48059,Callahan ,2021-01-19,931,28,13660.0,6650.0,7010.0,40945.0,461.0,2109.0,5128.0,187.0,272.0,40.0,1239.0,227.0
2695,48335,Mitchell ,2021-01-19,535,21,8774.0,5417.0,3357.0,52194.0,477.0,496.0,2801.0,193.0,94.0,22.0,1902.0,449.0
2696,48003,Andrews ,2021-01-19,1606,37,17577.0,8980.0,8597.0,70753.0,737.0,2082.0,8054.0,383.0,204.0,0.0,1514.0,825.0
2697,48207,Haskell ,2021-01-19,355,17,5806.0,3247.0,2559.0,43529.0,389.0,958.0,2180.0,230.0,61.0,93.0,1150.0,76.0
2698,48395,Robertson ,2021-01-19,1069,25,16727.0,8291.0,8436.0,52189.0,385.0,2505.0,7180.0,603.0,242.0,177.0,1557.0,524.0
2699,48219,Hockley ,2021-01-19,2049,91,23273.0,11505.0,11768.0,49184.0,514.0,3354.0,10337.0,827.0,248.0,205.0,2615.0,1424.0
2700,48019,Bandera ,2021-01-19,820,20,21316.0,10570.0,10746.0,56413.0,674.0,3467.0,8682.0,523.0,644.0,159.0,3382.0,81.0
2701,48427,Starr ,2021-01-19,7460,214,63420.0,30815.0,32605.0,27133.0,366.0,21968.0,21423.0,3772.0,1067.0,913.0,2585.0,2023.0
2702,48035,Bosque ,2021-01-19,988,20,17955.0,8831.0,9124.0,48677.0,456.0,2737.0,7475.0,406.0,364.0,331.0,1991.0,524.0
2703,48051,Burleson ,2021-01-19,1093,22,17596.0,8781.0,8815.0,52510.0,551.0,2620.0,7697.0,557.0,193.0,85.0,1743.0,361.0
2704,48253,Jones ,2021-01-19,2569,35,19969.0,12658.0,7311.0,48601.0,444.0,2021.0,5057.0,220.0,139.0,135.0,4430.0,486.0
2705,48111,Dallam ,2021-01-19,466,20,7207.0,3880.0,3327.0,45580.0,562.0,1139.0,3501.0,135.0,79.0,61.0,625.0,713.0
2706,48017,Bailey ,2021-01-19,742,15,7098.0,3678.0,3420.0,43523.0,575.0,1529.0,3157.0,72.0,263.0,179.0,370.0,188.0
2707,48371,Pecos ,2021-01-19,1313,26,15804.0,9058.0,6746.0,50543.0,614.0,1580.0,6103.0,233.0,185.0,99.0,1977.0,599.0
2708,48083,Coleman ,2021-01-19,579,20,8422.0,4282.0,4140.0,40804.0,461.0,1701.0,3310.0,177.0,81.0,25.0,391.0,66.0
2709,48285,Lavaca ,2021-01-19,1862,62,19859.0,9596.0,10263.0,51708.0,517.0,2030.0,8843.0,263.0,285.0,137.0,1689.0,896.0
2710,48297,Live Oak ,2021-01-19,967,16,12043.0,6548.0,5495.0,51480.0,586.0,1703.0,4301.0,169.0,243.0,75.0,1325.0,158.0
2711,48117,Deaf Smith ,2021-01-19,2418,60,18947.0,9499.0,9448.0,51543.0,544.0,3373.0,8619.0,452.0,186.0,29.0,1102.0,885.0
2712,48075,Childress ,2021-01-19,1292,13,7064.0,3933.0,3131.0,40432.0,577.0,1124.0,2515.0,138.0,68.0,23.0,815.0,98.0
